;Vviento00;Vviento01;Vviento02;Vviento03;Vviento04;Vviento05;Vviento06;Vviento07;Vviento08;Vviento09;Vviento10;Vviento11;Vviento12;Vviento13;Vviento14;Vviento15;Vviento16;Vviento17;Vviento18;Vviento19;Vviento20;Vviento21;Vviento22;Vviento23;AlturaOlas00;AlturaOlas01;AlturaOlas02;AlturaOlas03;AlturaOlas04;AlturaOlas05;AlturaOlas06;AlturaOlas07;AlturaOlas08;AlturaOlas09;AlturaOlas10;AlturaOlas11;AlturaOlas12;AlturaOlas13;AlturaOlas14;AlturaOlas15;AlturaOlas16;AlturaOlas17;AlturaOlas18;AlturaOlas19;AlturaOlas20;AlturaOlas21;AlturaOlas22;AlturaOlas23;PeriodoOlas00;PeriodoOlas01;PeriodoOlas02;PeriodoOlas03;PeriodoOlas04;PeriodoOlas05;PeriodoOlas06;PeriodoOlas07;PeriodoOlas08;PeriodoOlas09;PeriodoOlas10;PeriodoOlas11;PeriodoOlas12;PeriodoOlas13;PeriodoOlas14;PeriodoOlas15;PeriodoOlas16;PeriodoOlas17;PeriodoOlas18;PeriodoOlas19;PeriodoOlas20;PeriodoOlas21;PeriodoOlas22;PeriodoOlas23;Temperatura00;Temperatura01;Temperatura02;Temperatura03;Temperatura04;Temperatura05;Temperatura06;Temperatura07;Temperatura08;Temperatura09;Temperatura10;Temperatura11;Temperatura12;Temperatura13;Temperatura14;Temperatura15;Temperatura16;Temperatura17;Temperatura18;Temperatura19;Temperatura20;Temperatura21;Temperatura22;Temperatura23;Lluvia00;Lluvia01;Lluvia02;Lluvia03;Lluvia04;Lluvia05;Lluvia06;Lluvia07;Lluvia08;Lluvia09;Lluvia10;Lluvia11;Lluvia12;Lluvia13;Lluvia14;Lluvia15;Lluvia16;Lluvia17;Lluvia18;Lluvia19;Lluvia20;Lluvia21;Lluvia22;Lluvia23;Nubosidad00;Nubosidad01;Nubosidad02;Nubosidad03;Nubosidad04;Nubosidad05;Nubosidad06;Nubosidad07;Nubosidad08;Nubosidad09;Nubosidad10;Nubosidad11;Nubosidad12;Nubosidad13;Nubosidad14;Nubosidad15;Nubosidad16;Nubosidad17;Nubosidad18;Nubosidad19;Nubosidad20;Nubosidad21;Nubosidad22;Nubosidad23
01.01.2022;22;24;26;28;29;28;25;25;22;21;20;21;21;21;22;22;21;21;19;16;15;14;15;19;3.7;3.9;4.3;4.7;4.9;5.2;5.3;5.2;5;4.8;4.7;4.6;4.6;4.5;4.4;4.4;4.3;4.2;4.1;3.9;3.8;3.7;3.6;3.6;9;9;10;10;10;11;11;12;12;12;13;13;13;14;14;14;14;14;14;14;14;13;13;13;12;12;13;13;13;13;13;12;12;11;11;11;11;11;11;11;11;11;11;10;10;10;10;10;;;;;0.2;0.4;0.2;0.3;;;;0.1;;;0.1;0.1;0.1;0.2;0.1;;;0.1;;0.2;96;100;100;100;100;100;100;100;43;7;20;40;74;100;86;92;100;100;93;100;100;100;100;100
02.01.2022;17;18;18;17;18;18;18;18;18;20;20;19;18;19;20;20;20;20;19;18;19;19;20;20;3.5;3.4;3.4;3.3;3.2;3.1;3.1;3.1;3.1;3.1;3.2;3.2;3.1;3.1;3.2;3.2;3.3;3.3;3.3;3.3;3.3;3.3;3.3;3.3;13;13;13;13;13;13;13;13;12;12;12;12;12;12;12;12;12;12;11;11;11;11;11;11;10;10;10;10;10;10;10;10;10;10;10;10;10;11;11;10;10;9;9;9;9;9;10;9;0.1;;0.1;;0.1;;0.1;;;0.1;0.1;0.1;;;;;;;;;;0.1;0.1;;100;100;100;55;64;64;57;100;100;100;100;100;100;14;;14;8;;9;33;37;67;89;
03.01.2022;20;21;20;20;19;19;18;18;17;17;16;17;17;15;14;15;14;13;15;15;12;8;5;16;3.4;3.4;3.3;3.3;3.2;3.2;3;3;2.9;2.9;2.8;2.7;2.7;2.6;2.6;2.5;2.4;2.3;2.4;2.4;2.4;2.3;2.1;2;11;11;11;11;11;11;11;11;11;11;11;11;10;10;10;10;10;9;9;8;8;8;8;8;9;9;9;9;9;9;9;8;8;8;9;9;10;10;10;9;9;8;8;8;8;8;8;5;;;;;;;;;;;;;;;;;;;;;;;0.1;0.1;;;;;;;;;;;100;100;99;100;100;7;33;100;100;100;100;100;100;100
04.01.2022;19;23;17;14;14;14;15;14;13;13;11;11;11;11;12;12;10;9;9;8;7;8;7;7;1.8;1.8;1.7;1.5;1.4;1.3;1.3;1.2;1.2;1.1;1.1;1;1;1;0.9;1;1;0.9;0.9;0.9;0.9;0.9;0.9;0.9;9;9;10;10;10;10;10;10;10;10;10;10;9;9;9;9;9;9;9;9;9;9;9;9;3;3;3;3;4;3;3;3;2;2;2;3;4;5;5;4;3;2;2;1;1;1;1;1;0.4;0.4;0.1;;;;;;;;;;;;;;;;;;;;;;100;100;100;100;100;100;100;100;13;6;10;11;100;;5;8;8;98;10;10;6;13;13;13
05.01.2022;6;6;6;6;5;5;5;6;6;5;6;6;6;6;6;5;4;3;3;2;1;3;4;6;0.9;0.9;0.9;0.9;0.8;0.8;0.8;0.8;0.8;0.8;0.7;0.7;0.7;0.7;0.7;0.7;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;9;9;9;9;9;9;9;9;9;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;1;1;1;1;1;1;1;1;1;1;2;3;5;5;5;5;3;2;2;2;2;2;3;3;;;;;;;;;;;;;;;;;;;;;;;;;14;13;13;34;13;7;8;6;6;6;7;7;7;6;;;;;;;;;;
06.01.2022;9;14;16;18;20;21;23;26;26;28;29;20;21;20;19;17;17;17;18;17;19;18;19;21;0.6;0.7;0.9;1.2;1.5;1.8;2.2;2.5;2.8;3.2;3.4;3.2;3.1;3;2.9;2.8;2.6;2.5;2.6;2.5;2.5;2.6;2.6;2.6;8;8;8;4;5;6;6;7;7;8;8;8;8;9;9;9;9;9;8;8;8;8;8;8;4;6;6;7;7;8;8;8;8;9;10;10;9;8;8;7;6;5;5;5;5;4;4;4;;;;;;;;0.2;0.9;1.3;1.2;0.1;;;0.1;0.1;;;;;;;;;11;5;13;20;100;100;100;100;100;100;100;100;100;8;61;100;100;17;11;100;100;100;16;14
07.01.2022;18;17;18;19;19;17;17;16;15;13;13;15;9;14;10;10;6;4;6;8;10;11;12;13;2.5;2.4;2.4;2.4;2.4;2.4;2.3;2.3;2.3;2.2;2.1;2.2;2.2;2.2;2.1;2.2;2.1;1.9;1.9;1.8;1.8;1.7;1.7;1.8;8;8;8;8;8;8;9;18;18;18;17;17;17;8;9;9;9;10;10;10;10;10;10;10;5;4;4;4;4;4;4;4;4;3;3;4;4;5;5;5;5;5;6;6;7;7;8;8;;;;;;;;;;;0.9;0.6;3.1;0.4;0.1;;;0.1;;;;0.1;;;100;100;100;100;100;100;100;19;100;67;99;100;100;100;100;99;78;100;100;100;100;100;100;100
08.01.2022;15;17;21;20;21;21;18;15;14;11;14;15;16;17;17;18;19;19;19;20;19;17;15;17;1.8;2.1;2.5;2.8;3;3.2;3;2.9;2.7;2.6;2.5;2.5;2.5;2.4;2.4;2.4;2.3;2.3;2.4;2.4;2.4;2.4;2.3;2.2;9;9;7;8;8;8;9;9;9;9;10;10;10;10;11;10;10;10;10;10;10;10;10;10;8;9;9;9;9;10;10;10;10;9;7;7;7;7;6;6;5;5;5;5;5;4;4;4;;0.1;0.8;0.4;0.4;0.5;0.5;0.2;0.8;0.8;0.1;0.1;;0.1;0.2;;;;;;;;;;100;100;100;100;100;100;100;100;100;100;100;100;100;12;93;100;9;17;6;7;7;13;15;33
09.01.2022;13;13;12;14;14;13;10;12;13;10;10;11;10;8;7;6;6;5;6;7;6;4;6;5;2.1;2.2;2.2;2.1;2;2;2;2;1.9;1.9;1.8;1.8;1.7;1.7;1.6;1.6;1.5;1.5;1.5;1.5;1.4;1.4;1.4;1.4;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;9;9;9;9;9;4;5;5;5;5;5;4;6;5;5;7;7;7;8;8;8;8;8;8;8;8;8;9;9;;;;;;;;;;;;;;;;;0.2;0.2;0.1;0.1;0.1;0.4;0.3;0.1;13;12;13;50;74;26;21;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
10.01.2022;4;4;5;5;6;6;7;9;8;9;10;11;11;11;11;12;12;12;11;8;6;6;7;6;1.3;1.3;1.4;1.4;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.4;1.4;1.3;1.3;9;9;9;9;9;9;9;9;9;9;9;9;9;9;10;10;10;9;9;9;9;9;9;9;9;9;9;9;9;9;10;10;10;10;11;11;11;11;11;11;11;10;11;11;10;9;9;8;0.1;;;;;;;;;;;;;;;;;;;0.2;0.1;;;;100;100;100;90;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;68
